swing_length,ob_strength,flip_accuracy,whipsaw_rate,avg_trend_duration,composite_score,total_signals,total_choch,bars_tested
10,1.0,0.8789115646258504,0.024489795918367346,31.778688524590162,0.6685040367306115,245,94,7851
10,2.0,0.8789115646258504,0.024489795918367346,31.778688524590162,0.6685040367306115,245,94,7851
10,2.5,0.8789115646258504,0.024489795918367346,31.778688524590162,0.6685040367306115,245,94,7851
10,1.5,0.8789115646258504,0.024489795918367346,31.778688524590162,0.6685040367306115,245,94,7851
10,3.0,0.8789115646258504,0.024489795918367346,31.778688524590162,0.6685040367306115,245,94,7851
9,3.0,0.8771929824561404,0.02631578947368421,29.260377358490565,0.665344227144165,266,102,7851
9,1.5,0.8771929824561404,0.02631578947368421,29.260377358490565,0.665344227144165,266,102,7851
9,1.0,0.8771929824561404,0.02631578947368421,29.260377358490565,0.665344227144165,266,102,7851
9,2.5,0.8771929824561404,0.02631578947368421,29.260377358490565,0.665344227144165,266,102,7851
9,2.0,0.8771929824561404,0.02631578947368421,29.260377358490565,0.665344227144165,266,102,7851
4,2.5,0.8892666821130676,0.03125,18.771084337349397,0.6606771710013978,417,174,7851
4,3.0,0.8892666821130676,0.03125,18.771084337349397,0.6606771710013978,417,174,7851
4,2.0,0.8892666821130676,0.03125,18.771084337349397,0.6606771710013978,417,174,7851
4,1.0,0.8892666821130676,0.03125,18.771084337349397,0.6606771710013978,417,174,7851
4,1.5,0.8892666821130676,0.03125,18.771084337349397,0.6606771710013978,417,174,7851
8,2.5,0.8666223926354744,0.024734982332155476,27.5354609929078,0.6602719938737696,283,114,7851
8,3.0,0.8666223926354744,0.024734982332155476,27.5354609929078,0.6602719938737696,283,114,7851
8,1.5,0.8666223926354744,0.024734982332155476,27.5354609929078,0.6602719938737696,283,114,7851
8,1.0,0.8666223926354744,0.024734982332155476,27.5354609929078,0.6602719938737696,283,114,7851
8,2.0,0.8666223926354744,0.024734982332155476,27.5354609929078,0.6602719938737696,283,114,7851
7,1.5,0.8673092312761851,0.023972602739726026,26.68384879725086,0.660124612336054,292,116,7851
7,2.0,0.8673092312761851,0.023972602739726026,26.68384879725086,0.660124612336054,292,116,7851
7,2.5,0.8673092312761851,0.023972602739726026,26.68384879725086,0.660124612336054,292,116,7851
7,1.0,0.8673092312761851,0.023972602739726026,26.68384879725086,0.660124612336054,292,116,7851
7,3.0,0.8673092312761851,0.023972602739726026,26.68384879725086,0.660124612336054,292,116,7851
5,3.0,0.8753728285170372,0.027855153203342618,21.75977653631285,0.6584221433642783,360,142,7851
5,2.5,0.8753728285170372,0.027855153203342618,21.75977653631285,0.6584221433642783,360,142,7851
5,1.0,0.8753728285170372,0.027855153203342618,21.75977653631285,0.6584221433642783,360,142,7851
5,1.5,0.8753728285170372,0.027855153203342618,21.75977653631285,0.6584221433642783,360,142,7851
5,2.0,0.8753728285170372,0.027855153203342618,21.75977653631285,0.6584221433642783,360,142,7851
6,1.0,0.8613739922888187,0.02830188679245283,24.574132492113566,0.6548394148992769,318,130,7851
6,1.5,0.8613739922888187,0.02830188679245283,24.574132492113566,0.6548394148992769,318,130,7851
6,2.5,0.8613739922888187,0.02830188679245283,24.574132492113566,0.6548394148992769,318,130,7851
6,2.0,0.8613739922888187,0.02830188679245283,24.574132492113566,0.6548394148992769,318,130,7851
6,3.0,0.8613739922888187,0.02830188679245283,24.574132492113566,0.6548394148992769,318,130,7851
3,3.0,0.8832284516335417,0.09369024856596558,14.996168582375478,0.6366448858179606,527,257,7851
3,1.0,0.8832284516335417,0.09369024856596558,14.996168582375478,0.6366448858179606,527,257,7851
3,1.5,0.8832284516335417,0.09369024856596558,14.996168582375478,0.6366448858179606,527,257,7851
3,2.0,0.8832284516335417,0.09369024856596558,14.996168582375478,0.6366448858179606,527,257,7851
3,2.5,0.8832284516335417,0.09369024856596558,14.996168582375478,0.6366448858179606,527,257,7851
