swing_length,ob_strength,flip_accuracy,whipsaw_rate,avg_trend_duration,composite_score,total_signals,total_choch,bars_tested
10,1.0,0.8978494623655914,0.012048192771084338,31.427419354838708,0.6795432249787544,249,101,7851
10,2.0,0.8978494623655914,0.012048192771084338,31.427419354838708,0.6795432249787544,249,101,7851
10,2.5,0.8978494623655914,0.012048192771084338,31.427419354838708,0.6795432249787544,249,101,7851
10,1.5,0.8978494623655914,0.012048192771084338,31.427419354838708,0.6795432249787544,249,101,7851
10,3.0,0.8978494623655914,0.012048192771084338,31.427419354838708,0.6795432249787544,249,101,7851
8,2.0,0.9053481447549244,0.013513513513513514,26.386440677966103,0.6782506151417377,297,115,7851
8,1.5,0.9053481447549244,0.013513513513513514,26.386440677966103,0.6782506151417377,297,115,7851
8,1.0,0.9053481447549244,0.013513513513513514,26.386440677966103,0.6782506151417377,297,115,7851
8,3.0,0.9053481447549244,0.013513513513513514,26.386440677966103,0.6782506151417377,297,115,7851
8,2.5,0.9053481447549244,0.013513513513513514,26.386440677966103,0.6782506151417377,297,115,7851
9,1.5,0.9027172861014323,0.013888888888888888,27.121951219512194,0.6776477611246989,289,107,7851
9,2.5,0.9027172861014323,0.013888888888888888,27.121951219512194,0.6776477611246989,289,107,7851
9,3.0,0.9027172861014323,0.013888888888888888,27.121951219512194,0.6776477611246989,289,107,7851
9,1.0,0.9027172861014323,0.013888888888888888,27.121951219512194,0.6776477611246989,289,107,7851
9,2.0,0.9027172861014323,0.013888888888888888,27.121951219512194,0.6776477611246989,289,107,7851
7,1.0,0.9053206667362633,0.016129032258064516,25.19093851132686,0.6765413250807673,311,121,7851
7,2.5,0.9053206667362633,0.016129032258064516,25.19093851132686,0.6765413250807673,311,121,7851
7,2.0,0.9053206667362633,0.016129032258064516,25.19093851132686,0.6765413250807673,311,121,7851
7,1.5,0.9053206667362633,0.016129032258064516,25.19093851132686,0.6765413250807673,311,121,7851
7,3.0,0.9053206667362633,0.016129032258064516,25.19093851132686,0.6765413250807673,311,121,7851
6,3.0,0.9012481308553816,0.01812688821752266,23.587878787878786,0.6730878414274336,331,137,7851
6,2.5,0.9012481308553816,0.01812688821752266,23.587878787878786,0.6730878414274336,331,137,7851
6,2.0,0.9012481308553816,0.01812688821752266,23.587878787878786,0.6730878414274336,331,137,7851
6,1.0,0.9012481308553816,0.01812688821752266,23.587878787878786,0.6730878414274336,331,137,7851
6,1.5,0.9012481308553816,0.01812688821752266,23.587878787878786,0.6730878414274336,331,137,7851
5,2.0,0.9017543859649123,0.05,20.50923482849604,0.6613756059935277,380,157,7851
5,2.5,0.9017543859649123,0.05,20.50923482849604,0.6613756059935277,380,157,7851
5,3.0,0.9017543859649123,0.05,20.50923482849604,0.6613756059935277,380,157,7851
5,1.0,0.9017543859649123,0.05,20.50923482849604,0.6613756059935277,380,157,7851
5,1.5,0.9017543859649123,0.05,20.50923482849604,0.6613756059935277,380,157,7851
4,2.0,0.8833414862826627,0.051685393258426963,17.527027027027028,0.6512257239769027,445,181,7851
4,1.5,0.8833414862826627,0.051685393258426963,17.527027027027028,0.6512257239769027,445,181,7851
4,2.5,0.8833414862826627,0.051685393258426963,17.527027027027028,0.6512257239769027,445,181,7851
4,1.0,0.8833414862826627,0.051685393258426963,17.527027027027028,0.6512257239769027,445,181,7851
4,3.0,0.8833414862826627,0.051685393258426963,17.527027027027028,0.6512257239769027,445,181,7851
3,3.0,0.8858812747994111,0.09523809523809523,14.84351145038168,0.6371249953341072,528,243,7851
3,1.0,0.8858812747994111,0.09523809523809523,14.84351145038168,0.6371249953341072,528,243,7851
3,1.5,0.8858812747994111,0.09523809523809523,14.84351145038168,0.6371249953341072,528,243,7851
3,2.0,0.8858812747994111,0.09523809523809523,14.84351145038168,0.6371249953341072,528,243,7851
3,2.5,0.8858812747994111,0.09523809523809523,14.84351145038168,0.6371249953341072,528,243,7851
