swing_length,ob_strength,flip_accuracy,whipsaw_rate,avg_trend_duration,composite_score,total_signals,total_choch,bars_tested
10,1.0,0.8785761809713906,0.06387225548902195,29.83116883116883,0.6382473852597537,1009,394,29938
10,2.0,0.8785761809713906,0.06387225548902195,29.83116883116883,0.6382473852597537,1009,394,29938
10,2.5,0.8785761809713906,0.06387225548902195,29.83116883116883,0.6382473852597537,1009,394,29938
10,1.5,0.8785761809713906,0.06387225548902195,29.83116883116883,0.6382473852597537,1009,394,29938
10,3.0,0.8785761809713906,0.06387225548902195,29.83116883116883,0.6382473852597537,1009,394,29938
7,1.5,0.8851763457968708,0.07398568019093078,23.780254777070063,0.6366407347445481,1269,498,29938
7,1.0,0.8851763457968708,0.07398568019093078,23.780254777070063,0.6366407347445481,1269,498,29938
7,2.0,0.8851763457968708,0.07398568019093078,23.780254777070063,0.6366407347445481,1269,498,29938
7,3.0,0.8851763457968708,0.07398568019093078,23.780254777070063,0.6366407347445481,1269,498,29938
7,2.5,0.8851763457968708,0.07398568019093078,23.780254777070063,0.6366407347445481,1269,498,29938
6,1.5,0.8889410359487524,0.0781831720029784,22.272727272727273,0.6365852333590191,1354,539,29938
6,2.0,0.8889410359487524,0.0781831720029784,22.272727272727273,0.6365852333590191,1354,539,29938
6,1.0,0.8889410359487524,0.0781831720029784,22.272727272727273,0.6365852333590191,1354,539,29938
6,3.0,0.8889410359487524,0.0781831720029784,22.272727272727273,0.6365852333590191,1354,539,29938
6,2.5,0.8889410359487524,0.0781831720029784,22.272727272727273,0.6365852333590191,1354,539,29938
8,1.5,0.8813657407407408,0.0720486111111111,25.944396177237184,0.6361313380903404,1160,454,29938
8,2.0,0.8813657407407408,0.0720486111111111,25.944396177237184,0.6361313380903404,1160,454,29938
8,2.5,0.8813657407407408,0.0720486111111111,25.944396177237184,0.6361313380903404,1160,454,29938
8,3.0,0.8813657407407408,0.0720486111111111,25.944396177237184,0.6361313380903404,1160,454,29938
8,1.0,0.8813657407407408,0.0720486111111111,25.944396177237184,0.6361313380903404,1160,454,29938
9,1.5,0.8796732642161483,0.07163053722902922,28.170754716981133,0.6360259634870167,1068,422,29938
9,3.0,0.8796732642161483,0.07163053722902922,28.170754716981133,0.6360259634870167,1068,422,29938
9,2.0,0.8796732642161483,0.07163053722902922,28.170754716981133,0.6360259634870167,1068,422,29938
9,1.0,0.8796732642161483,0.07163053722902922,28.170754716981133,0.6360259634870167,1068,422,29938
9,2.5,0.8796732642161483,0.07163053722902922,28.170754716981133,0.6360259634870167,1068,422,29938
5,2.0,0.8854249386911365,0.0774503084304318,20.50068587105624,0.6350435112867713,1463,627,29938
5,2.5,0.8854249386911365,0.0774503084304318,20.50068587105624,0.6350435112867713,1463,627,29938
5,3.0,0.8854249386911365,0.0774503084304318,20.50068587105624,0.6350435112867713,1463,627,29938
5,1.0,0.8854249386911365,0.0774503084304318,20.50068587105624,0.6350435112867713,1463,627,29938
5,1.5,0.8854249386911365,0.0774503084304318,20.50068587105624,0.6350435112867713,1463,627,29938
3,1.5,0.8815025932290722,0.09129287598944591,15.78299894403379,0.6283763114332747,1899,879,29938
3,1.0,0.8815025932290722,0.09129287598944591,15.78299894403379,0.6283763114332747,1899,879,29938
3,2.5,0.8815025932290722,0.09129287598944591,15.78299894403379,0.6283763114332747,1899,879,29938
3,2.0,0.8815025932290722,0.09129287598944591,15.78299894403379,0.6283763114332747,1899,879,29938
3,3.0,0.8815025932290722,0.09129287598944591,15.78299894403379,0.6283763114332747,1899,879,29938
4,1.0,0.874785515161899,0.08968058968058969,18.371235402581437,0.6266918854106825,1632,739,29938
4,2.0,0.874785515161899,0.08968058968058969,18.371235402581437,0.6266918854106825,1632,739,29938
4,1.5,0.874785515161899,0.08968058968058969,18.371235402581437,0.6266918854106825,1632,739,29938
4,2.5,0.874785515161899,0.08968058968058969,18.371235402581437,0.6266918854106825,1632,739,29938
4,3.0,0.874785515161899,0.08968058968058969,18.371235402581437,0.6266918854106825,1632,739,29938
