roc_length,smooth_length,flip_accuracy,whipsaw_rate,avg_trend_duration,zone_accuracy,composite_score,total_flips,total_extreme_entries,bars_tested
16,8,0.8047855958303719,0.1968727789623312,21.973684210526315,0.7774834437086092,0.6026229657212152,1407,755,31004
14,8,0.7852626989317636,0.1988227599738391,20.221204188481675,0.78515625,0.5961707558967655,1529,768,31004
20,8,0.7763055339049103,0.21044427123928294,24.098283931357255,0.801980198019802,0.5932792172883414,1283,707,31004
12,8,0.7885410513880685,0.20850561134081513,18.260047281323878,0.7616645649432535,0.5910574388356838,1693,793,31004
10,8,0.7806751086125102,0.20763851533082303,16.652314316469322,0.7798277982779828,0.5909863395536872,1859,813,31004
8,8,0.792434004832177,0.24339360222531292,14.35064935064935,0.7632850241545893,0.5833105769989053,2157,828,31004
20,6,0.7695702671312428,0.24738675958188153,21.543933054393307,0.8076923076923077,0.5821311293592638,1435,754,31004
16,6,0.7841347129235139,0.2556299452221546,18.815468940316688,0.7862407862407862,0.5815101426781797,1643,814,31004
14,6,0.7826086956521738,0.2574816487859966,17.456497175141244,0.7713226205191595,0.578056225168425,1771,809,31004
10,6,0.7816839292434751,0.2608290638099674,14.417520969245107,0.7811408614668219,0.5778783450969364,2147,859,31004
6,8,0.7979100302080759,0.2868654311039484,12.476017734784362,0.7791907514450868,0.5764427668254951,2482,865,31004
12,6,0.7823034668914541,0.25786487880350695,15.964912280701755,0.7511904761904762,0.574593218778057,1939,840,31004
16,5,0.7815173987450086,0.2812321734169994,17.633561643835616,0.7820069204152249,0.5733678401783204,1753,867,31004
20,5,0.7712460063897764,0.27539936102236423,19.781329923273656,0.7912087912087912,0.5729577061174573,1565,819,31004
8,6,0.7945066065857733,0.2880942706216985,12.577235772357724,0.7637614678899083,0.5726462895286631,2461,872,31004
6,6,0.8049206805577857,0.31558533145275036,10.917813051146384,0.7839643652561247,0.5721812705209119,2836,898,31004
14,5,0.783359497645212,0.2914704343275772,16.176439790575916,0.7728337236533958,0.5698420407189254,1911,854,31004
12,5,0.7801650937450327,0.2866698518872432,14.789674952198853,0.7585812356979404,0.5675626288796498,2093,874,31004
10,5,0.7874078542823771,0.2994517081400253,13.054852320675106,0.7539325842696629,0.5659250592882957,2371,890,31004
8,5,0.797243314831717,0.3184171597633136,11.45135035146134,0.7639821029082774,0.5658749393878851,2704,894,31004
20,4,0.7759466352756523,0.3125367863449088,18.22025912838634,0.7942196531791907,0.5655184460646336,1699,865,31004
16,4,0.7836196425472844,0.31389901093180633,16.090625,0.7712053571428571,0.5640678529974759,1921,896,31004
8,4,0.7971086778302228,0.33618331053351574,10.589120766335956,0.7550802139037434,0.5599119440483172,2924,935,31004
10,4,0.7944007405511755,0.33702713030187237,11.827217125382264,0.7570194384449244,0.5592437619373658,2617,926,31004
6,5,0.793587939425314,0.3425272610647851,9.929740134744947,0.7678958785249458,0.5589097096732208,3118,922,31004
12,4,0.78383589044889,0.33190210390725633,13.290378006872853,0.7683189655172413,0.5587582133047603,2329,928,31004
14,4,0.7817403708987162,0.33000475511174515,14.698858230256898,0.7621621621621621,0.5578027430783714,2103,925,31004
5,8,0.7882112220072818,0.34132171387073346,11.243007628042136,0.7637178051511758,0.5569143243792424,2754,893,31004
16,3,0.7862772369031061,0.3657858136300417,14.329313543599257,0.7700205338809035,0.5515645410162701,2157,974,31004
20,3,0.7818308146604135,0.36425221469515373,16.130344108446298,0.7744593202883625,0.5513479622493602,1919,971,31004
5,6,0.792346754332002,0.37823343848580443,9.766803408015146,0.7774122807017544,0.550949934135159,3170,912,31004
6,4,0.7898710037869828,0.37187681580476467,8.994768962510898,0.7663157894736842,0.5498835978109341,3442,950,31004
8,3,0.7976070340938094,0.39037758830694275,9.427962229667987,0.7543147208121828,0.5462357158610478,3284,985,31004
10,3,0.7885363737893956,0.3910840932117528,10.457094594594595,0.7582748244734202,0.5436443417534194,2961,997,31004
14,3,0.7797693483395859,0.38724468528553563,12.891993327773145,0.7639311043566362,0.5427768517444147,2399,987,31004
12,3,0.7855092685740894,0.40273163528977485,11.425406203840472,0.7776659959758552,0.542737804276169,2709,994,31004
5,5,0.78772333943893,0.40172910662824207,8.921879504179879,0.7655755015839493,0.5415460445522937,3470,947,31004
6,3,0.7911726092757047,0.41572745901639346,7.929797591596208,0.7684426229508197,0.5395237765356528,3904,976,31004
20,2,0.784841795437822,0.44194260485651216,13.665194346289752,0.7783882783882784,0.5331709981929793,2265,1092,31004
16,2,0.7946738710922423,0.4507912003087611,11.928185328185329,0.7701688555347092,0.5328870357814409,2591,1066,31004
5,4,0.7846130039832522,0.4424961320268179,7.982976528243487,0.7603305785123967,0.5293275159061723,3878,968,31004
8,2,0.7998320872860409,0.472680412371134,7.979376127868007,0.7495274102079396,0.5254870690955834,3880,1058,31004
14,2,0.7797182442659215,0.4572127139364303,10.80188679245283,0.7637867647058824,0.5249082367439488,2863,1088,31004
12,2,0.783721803502937,0.4801110083256244,9.543491671807526,0.7798507462686567,0.5227915653449848,3243,1072,31004
10,2,0.7853300809957157,0.4767932489451477,8.709341586944289,0.7591377694470478,0.5209424328108706,3555,1067,31004
5,3,0.7891064028738874,0.4915909090909091,7.035689929529439,0.7738336713995944,0.5204992067359264,4400,986,31004
6,2,0.795568262859662,0.49550898203592814,6.620320855614973,0.7608695652173914,0.5197697371988431,4676,1012,31004
5,2,0.7877226026553079,0.5657439446366782,5.9505864256873675,0.7635658914728682,0.49976145666969013,5202,1032,31004
