rsi_length,stoch_length,cross_accuracy,whipsaw_rate,avg_trend_duration,zone_exit_accuracy,composite_score,total_crosses,total_zone_exits,bars_tested
16,10,0.7838801903507789,0.6389548693586699,8.722835249042145,0.816308636562911,0.4874487091316966,13051,2281,113856
16,16,0.7838801903507789,0.6389548693586699,8.722835249042145,0.816308636562911,0.4874487091316966,13051,2281,113856
16,20,0.7838801903507789,0.6389548693586699,8.722835249042145,0.816308636562911,0.4874487091316966,13051,2281,113856
16,18,0.7838801903507789,0.6389548693586699,8.722835249042145,0.816308636562911,0.4874487091316966,13051,2281,113856
16,8,0.7838801903507789,0.6389548693586699,8.722835249042145,0.816308636562911,0.4874487091316966,13051,2281,113856
16,12,0.7838801903507789,0.6389548693586699,8.722835249042145,0.816308636562911,0.4874487091316966,13051,2281,113856
16,14,0.7838801903507789,0.6389548693586699,8.722835249042145,0.816308636562911,0.4874487091316966,13051,2281,113856
18,8,0.7787747777143323,0.6343910596296598,9.282998857888726,0.8173865500273373,0.4869890538134375,12259,1829,113856
18,18,0.7787747777143323,0.6343910596296598,9.282998857888726,0.8173865500273373,0.4869890538134375,12259,1829,113856
18,12,0.7787747777143323,0.6343910596296598,9.282998857888726,0.8173865500273373,0.4869890538134375,12259,1829,113856
18,14,0.7787747777143323,0.6343910596296598,9.282998857888726,0.8173865500273373,0.4869890538134375,12259,1829,113856
18,20,0.7787747777143323,0.6343910596296598,9.282998857888726,0.8173865500273373,0.4869890538134375,12259,1829,113856
18,10,0.7787747777143323,0.6343910596296598,9.282998857888726,0.8173865500273373,0.4869890538134375,12259,1829,113856
18,16,0.7787747777143323,0.6343910596296598,9.282998857888726,0.8173865500273373,0.4869890538134375,12259,1829,113856
20,8,0.7776913548238412,0.6314925244144844,9.834831460674158,0.8131487889273357,0.4867230592360019,11571,1445,113856
20,10,0.7776913548238412,0.6314925244144844,9.834831460674158,0.8131487889273357,0.4867230592360019,11571,1445,113856
20,14,0.7776913548238412,0.6314925244144844,9.834831460674158,0.8131487889273357,0.4867230592360019,11571,1445,113856
20,20,0.7776913548238412,0.6314925244144844,9.834831460674158,0.8131487889273357,0.4867230592360019,11571,1445,113856
20,16,0.7776913548238412,0.6314925244144844,9.834831460674158,0.8131487889273357,0.4867230592360019,11571,1445,113856
20,18,0.7776913548238412,0.6314925244144844,9.834831460674158,0.8131487889273357,0.4867230592360019,11571,1445,113856
20,12,0.7776913548238412,0.6314925244144844,9.834831460674158,0.8131487889273357,0.4867230592360019,11571,1445,113856
14,18,0.7795938255624689,0.6404687053443842,8.134405144694533,0.811340206185567,0.4847989169236112,13996,2910,113856
14,12,0.7795938255624689,0.6404687053443842,8.134405144694533,0.811340206185567,0.4847989169236112,13996,2910,113856
14,14,0.7795938255624689,0.6404687053443842,8.134405144694533,0.811340206185567,0.4847989169236112,13996,2910,113856
14,10,0.7795938255624689,0.6404687053443842,8.134405144694533,0.811340206185567,0.4847989169236112,13996,2910,113856
14,20,0.7795938255624689,0.6404687053443842,8.134405144694533,0.811340206185567,0.4847989169236112,13996,2910,113856
14,16,0.7795938255624689,0.6404687053443842,8.134405144694533,0.811340206185567,0.4847989169236112,13996,2910,113856
14,8,0.7795938255624689,0.6404687053443842,8.134405144694533,0.811340206185567,0.4847989169236112,13996,2910,113856
12,12,0.7805845616958639,0.6503872915846134,7.473380161491499,0.8091662351113412,0.48231090335708304,15234,3862,113856
12,20,0.7805845616958639,0.6503872915846134,7.473380161491499,0.8091662351113412,0.48231090335708304,15234,3862,113856
12,18,0.7805845616958639,0.6503872915846134,7.473380161491499,0.8091662351113412,0.48231090335708304,15234,3862,113856
12,8,0.7805845616958639,0.6503872915846134,7.473380161491499,0.8091662351113412,0.48231090335708304,15234,3862,113856
12,10,0.7805845616958639,0.6503872915846134,7.473380161491499,0.8091662351113412,0.48231090335708304,15234,3862,113856
12,16,0.7805845616958639,0.6503872915846134,7.473380161491499,0.8091662351113412,0.48231090335708304,15234,3862,113856
12,14,0.7805845616958639,0.6503872915846134,7.473380161491499,0.8091662351113412,0.48231090335708304,15234,3862,113856
10,18,0.783372708598348,0.6585322195704058,6.792947073214393,0.8056305437716931,0.4806902877742521,16760,5186,113856
10,16,0.783372708598348,0.6585322195704058,6.792947073214393,0.8056305437716931,0.4806902877742521,16760,5186,113856
10,8,0.783372708598348,0.6585322195704058,6.792947073214393,0.8056305437716931,0.4806902877742521,16760,5186,113856
10,14,0.783372708598348,0.6585322195704058,6.792947073214393,0.8056305437716931,0.4806902877742521,16760,5186,113856
10,10,0.783372708598348,0.6585322195704058,6.792947073214393,0.8056305437716931,0.4806902877742521,16760,5186,113856
10,12,0.783372708598348,0.6585322195704058,6.792947073214393,0.8056305437716931,0.4806902877742521,16760,5186,113856
10,20,0.783372708598348,0.6585322195704058,6.792947073214393,0.8056305437716931,0.4806902877742521,16760,5186,113856
8,16,0.7816039670863657,0.6740967673779844,6.013681263535999,0.8105987611837577,0.4768911023527636,18932,7265,113856
8,10,0.7816039670863657,0.6740967673779844,6.013681263535999,0.8105987611837577,0.4768911023527636,18932,7265,113856
8,14,0.7816039670863657,0.6740967673779844,6.013681263535999,0.8105987611837577,0.4768911023527636,18932,7265,113856
8,20,0.7816039670863657,0.6740967673779844,6.013681263535999,0.8105987611837577,0.4768911023527636,18932,7265,113856
8,18,0.7816039670863657,0.6740967673779844,6.013681263535999,0.8105987611837577,0.4768911023527636,18932,7265,113856
8,8,0.7816039670863657,0.6740967673779844,6.013681263535999,0.8105987611837577,0.4768911023527636,18932,7265,113856
