swing_length,ob_strength,flip_accuracy,whipsaw_rate,avg_trend_duration,composite_score,total_signals,total_choch,bars_tested
10,1.0,0.8731999079825167,0.04922779922779923,30.11400966183575,0.6402879679889577,1043,402,31280
10,2.0,0.8731999079825167,0.04922779922779923,30.11400966183575,0.6402879679889577,1043,402,31280
10,2.5,0.8731999079825167,0.04922779922779923,30.11400966183575,0.6402879679889577,1043,402,31280
10,1.5,0.8731999079825167,0.04922779922779923,30.11400966183575,0.6402879679889577,1043,402,31280
10,3.0,0.8731999079825167,0.04922779922779923,30.11400966183575,0.6402879679889577,1043,402,31280
8,2.0,0.8713472828615839,0.06201550387596899,26.868965517241378,0.6350881556232575,1166,472,31280
8,1.5,0.8713472828615839,0.06201550387596899,26.868965517241378,0.6350881556232575,1166,472,31280
8,1.0,0.8713472828615839,0.06201550387596899,26.868965517241378,0.6350881556232575,1166,472,31280
8,3.0,0.8713472828615839,0.06201550387596899,26.868965517241378,0.6350881556232575,1166,472,31280
8,2.5,0.8713472828615839,0.06201550387596899,26.868965517241378,0.6350881556232575,1166,472,31280
9,1.5,0.8672499305638217,0.059907834101382486,28.752767527675278,0.6344428587331591,1091,438,31280
9,2.5,0.8672499305638217,0.059907834101382486,28.752767527675278,0.6344428587331591,1091,438,31280
9,3.0,0.8672499305638217,0.059907834101382486,28.752767527675278,0.6344428587331591,1091,438,31280
9,1.0,0.8672499305638217,0.059907834101382486,28.752767527675278,0.6344428587331591,1091,438,31280
9,2.0,0.8672499305638217,0.059907834101382486,28.752767527675278,0.6344428587331591,1091,438,31280
5,1.5,0.8738936002269683,0.0704514363885089,21.385352498288842,0.6325240588861826,1474,636,31280
5,2.0,0.8738936002269683,0.0704514363885089,21.385352498288842,0.6325240588861826,1474,636,31280
5,2.5,0.8738936002269683,0.0704514363885089,21.385352498288842,0.6325240588861826,1474,636,31280
5,1.0,0.8738936002269683,0.0704514363885089,21.385352498288842,0.6325240588861826,1474,636,31280
5,3.0,0.8738936002269683,0.0704514363885089,21.385352498288842,0.6325240588861826,1474,636,31280
7,2.5,0.8707270704866309,0.0732484076433121,24.865338645418326,0.6310858721379922,1266,520,31280
7,2.0,0.8707270704866309,0.0732484076433121,24.865338645418326,0.6310858721379922,1266,520,31280
7,1.5,0.8707270704866309,0.0732484076433121,24.865338645418326,0.6310858721379922,1266,520,31280
7,1.0,0.8707270704866309,0.0732484076433121,24.865338645418326,0.6310858721379922,1266,520,31280
7,3.0,0.8707270704866309,0.0732484076433121,24.865338645418326,0.6310858721379922,1266,520,31280
6,2.5,0.8729442350150639,0.0775480059084195,23.06430155210643,0.6303373909966915,1367,578,31280
6,1.5,0.8729442350150639,0.0775480059084195,23.06430155210643,0.6303373909966915,1367,578,31280
6,1.0,0.8729442350150639,0.0775480059084195,23.06430155210643,0.6303373909966915,1367,578,31280
6,3.0,0.8729442350150639,0.0775480059084195,23.06430155210643,0.6303373909966915,1367,578,31280
6,2.0,0.8729442350150639,0.0775480059084195,23.06430155210643,0.6303373909966915,1367,578,31280
3,1.5,0.8747786043216436,0.07863974495217853,16.57894736842105,0.6294996232369465,1894,875,31280
3,1.0,0.8747786043216436,0.07863974495217853,16.57894736842105,0.6294996232369465,1894,875,31280
3,2.5,0.8747786043216436,0.07863974495217853,16.57894736842105,0.6294996232369465,1894,875,31280
3,2.0,0.8747786043216436,0.07863974495217853,16.57894736842105,0.6294996232369465,1894,875,31280
3,3.0,0.8747786043216436,0.07863974495217853,16.57894736842105,0.6294996232369465,1894,875,31280
4,1.0,0.8687179487179487,0.07630769230769231,19.199507389162562,0.6282776417544298,1641,746,31280
4,2.0,0.8687179487179487,0.07630769230769231,19.199507389162562,0.6282776417544298,1641,746,31280
4,1.5,0.8687179487179487,0.07630769230769231,19.199507389162562,0.6282776417544298,1641,746,31280
4,2.5,0.8687179487179487,0.07630769230769231,19.199507389162562,0.6282776417544298,1641,746,31280
4,3.0,0.8687179487179487,0.07630769230769231,19.199507389162562,0.6282776417544298,1641,746,31280
