smooth_length,trend_length,flip_accuracy,whipsaw_rate,avg_trend_duration,composite_score,total_flips,bars_tested
8,25,0.7961711711711712,0.16216216216216217,26.4,0.5899955936065986,296,7851
8,16,0.7822111388196177,0.1770573566084788,19.5225,0.5746870039904697,401,7851
8,20,0.7790157845868153,0.1894150417827298,21.810055865921786,0.5714497843842953,359,7851
8,14,0.7833698030634574,0.20568927789934355,17.125,0.5647286426320415,457,7851
5,25,0.7762172284644194,0.22191011235955055,21.91549295774648,0.5606624193574948,356,7851
5,20,0.7693561532192339,0.2078239608801956,19.139705882352942,0.560022484244386,409,7851
8,12,0.7695390781563126,0.23,15.68937875751503,0.5508059856817188,500,7851
5,16,0.7831004657351963,0.250996015936255,15.626746506986027,0.5498838702460916,502,7851
4,25,0.7694300518134716,0.24870466321243523,20.223376623376623,0.5486160108509792,386,7851
8,10,0.7743496672716274,0.2554347826086957,14.208711433756806,0.5439682104475988,552,7851
4,20,0.7566137566137566,0.24489795918367346,17.74772727272727,0.5427395289314608,441,7851
4,16,0.78006230529595,0.2835820895522388,14.631775700934579,0.5381323936103198,536,7851
8,8,0.7541452258433391,0.25,13.428816466552316,0.5369208465211739,584,7851
5,14,0.7670901391409558,0.27717391304347827,14.206896551724139,0.5345412730706023,552,7851
5,12,0.7720465890183029,0.2840531561461794,13.02495840266223,0.53355680294204,602,7851
3,20,0.759069130732375,0.2807377049180328,16.073921971252567,0.531690576179598,488,7851
3,25,0.7565891472868218,0.29767441860465116,18.149184149184148,0.5272035543109292,430,7851
4,14,0.7663865546218487,0.30033557046979864,13.156302521008403,0.5265084425083413,596,7851
5,10,0.7614725163893091,0.297583081570997,11.84266263237519,0.5243646458080587,662,7851
3,16,0.7728055077452668,0.31958762886597936,13.473321858864027,0.5235426831497108,582,7851
5,8,0.7777777777777777,0.324585635359116,10.827109266943292,0.5220098639630196,724,7851
4,12,0.7676306443429731,0.3181818181818182,11.878603945371776,0.5206757435744832,660,7851
2,20,0.7695625385089341,0.3376383763837638,14.471349353049908,0.5175929975996787,542,7851
4,10,0.7655680202441576,0.32650273224043713,10.708618331053351,0.5164602771003912,732,7851
3,14,0.7685611879160267,0.3389570552147239,12.02457757296467,0.5149269478820583,652,7851
3,12,0.7685889878118214,0.3561643835616438,10.742112482853223,0.5087957660958634,730,7851
2,16,0.7726098191214469,0.3684210526315789,12.136434108527132,0.5077926856906123,646,7851
4,8,0.7734741694148185,0.3706896551724138,9.660912453760789,0.5055659675869666,812,7851
3,10,0.7691935530530426,0.3804878048780488,9.565323565323565,0.5008412238658067,820,7851
2,25,0.7467191601049868,0.3779527559055118,15.370808678500985,0.4970487296497841,508,7851
2,14,0.7692307692307692,0.396505376344086,10.535666218034994,0.4967924076037819,744,7851
3,8,0.765855621821375,0.3964757709251101,8.63947078280044,0.49400209351735286,908,7851
2,12,0.7726779212564411,0.4184652278177458,9.402160864345738,0.4907170498052051,834,7851
2,10,0.759267818937253,0.44154488517745305,8.18599791013584,0.4774996787661329,958,7851
1,20,0.7750115260488705,0.47375690607734805,10.827109266943292,0.4761519820559871,724,7851
1,25,0.7583857442348009,0.46226415094339623,12.27244094488189,0.47405406727133853,636,7851
1,16,0.772782503037667,0.47572815533980584,9.511543134872419,0.47366359789541196,824,7851
2,8,0.7570802194672689,0.47802197802197804,7.182401466544454,0.46491452874526973,1092,7851
1,14,0.766519285006038,0.4989270386266094,8.411385606874328,0.4633578680673743,932,7851
1,12,0.7775416717579016,0.5155945419103314,7.641951219512195,0.46217854397454894,1026,7851
1,10,0.7572837701249008,0.5525451559934319,6.437962202136401,0.4420700699276177,1218,7851
1,8,0.76706596104771,0.6419518377693283,4.969562460367787,0.4180387409678176,1578,7851
