symbol,timeframe,atr_length,factor,flip_accuracy,whipsaw_rate,avg_trend_duration,bounce_win_rate,total_flips,total_bounces,bars_tested,composite_score
AAPL,1min,20,3.5,0.7285292538915727,0.11473429951690821,35.36327023761579,1.0,2484,1,87876,0.8763016639828234
AAPL,1min,18,3.5,0.7248867572608578,0.11510791366906475,35.10875649740104,1.0,2502,1,87876,0.8731341063361492
AAPL,1min,12,3.0,0.726065939336413,0.14067373674360573,27.403432137285492,1.0,3206,3,87876,0.8126827129501961
AAPL,1min,16,2.8,0.7266502601701866,0.15723981900452488,24.845261669024044,1.0,3536,1,87876,0.7906607647725278
AAPL,1min,20,2.8,0.7242258295280063,0.16657207718501701,24.92903775191598,1.0,3524,2,87876,0.788071403006977
AAPL,1min,16,3.5,0.7312898089171974,0.10748407643312102,34.9689366786141,0.0,2512,0,87876,0.7262926800422091
AAPL,1min,14,3.5,0.7261716692996313,0.10268562401263823,34.69340181746345,0.0,2532,0,87876,0.7237530555586509
AAPL,1min,16,2.2,0.7334128234710601,0.23729491796718688,17.57514508705223,1.0,4998,2,87876,0.7216179293676434
AAPL,1min,18,2.2,0.7336941665630347,0.2404656764351666,17.63160008030516,1.0,4982,2,87876,0.7213228173876103
AAPL,1min,12,2.2,0.7337027919290527,0.2355854963344561,17.40665873959572,1.0,5047,1,87876,0.720955662546997
AAPL,1min,20,2.2,0.7308480824174638,0.24153908138597904,17.695547048156357,1.0,4964,2,87876,0.7205104086327853
AAPL,1min,10,3.5,0.7289647150058162,0.10314075222954634,34.04538401861908,0.0,2579,0,87876,0.720035689381067
AAPL,1min,12,3.5,0.7186365992742353,0.10692068429237947,34.15363671723065,0.0,2572,0,87876,0.7162411563562262
AAPL,1min,8,3.5,0.7234577208191983,0.10139464756879005,33.09539969834088,0.0,2653,2,87876,0.7118288705930835
AAPL,1min,12,2.8,0.7301886144748816,0.15136054421768708,24.901616104337965,0.3333333333333333,3528,1,87876,0.6937674041381183
AAPL,1min,20,1.8,0.7409578000419651,0.3115886415963162,13.483727356463003,1.0,6515,1,87876,0.6767610365376583
AAPL,1min,18,1.8,0.7397860637193022,0.31369256602045487,13.409618320610686,1.0,6551,1,87876,0.6753010352287384
AAPL,1min,12,1.8,0.7362873947603147,0.3138893032970312,13.105490898239331,1.0,6703,1,87876,0.6718772934564795
AAPL,1min,8,1.8,0.738483966558008,0.3129681304156264,12.901439482961223,1.0,6809,1,87876,0.6714338490125229
AAPL,1min,10,1.8,0.7357309024285529,0.3134527157022347,13.000740082889283,1.0,6757,1,87876,0.6710511340425863
AAPL,1min,8,3.0,0.730806634912629,0.12965814598090544,27.054836722119532,0.0,3247,0,87876,0.6646314651034654
AAPL,1min,18,3.0,0.7257189120339428,0.14240705734089476,27.67885282067444,0.0,3174,0,87876,0.6640750047899167
AAPL,1min,16,3.0,0.7274185279930241,0.14290201005025124,27.591894439208293,0.0,3184,0,87876,0.6639313814916482
AAPL,1min,10,3.0,0.7262162173787243,0.13465715172199813,27.256362507759157,0.0,3223,0,87876,0.6631997504317297
AAPL,1min,20,3.0,0.7219016621124593,0.144794952681388,27.713789839065953,0.0,3170,0,87876,0.6623889801025498
AAPL,1min,14,3.0,0.7257533751653531,0.14254522769806613,27.402496099843994,0.0,3206,0,87876,0.6620988254519297
AAPL,1min,16,1.8,0.7378610312527346,0.3128694861300591,13.316100667070952,0.9166666666666666,6597,4,87876,0.6616719224760197
AAPL,1min,12,2.0,0.737205452239961,0.26691010259085374,15.275304347826086,0.6666666666666666,5751,3,87876,0.649282870728487
AAPL,1min,8,2.2,0.732531139034387,0.2299786697692457,17.03510473235066,0.5,5157,2,87876,0.6443205963341986
AAPL,1min,14,1.8,0.7361216535745386,0.31608244320746204,13.215919349984953,0.8000000000000002,6647,5,87876,0.6420516710082406
