rsi_length,stoch_length,cross_accuracy,whipsaw_rate,avg_trend_duration,zone_exit_accuracy,composite_score,total_crosses,total_zone_exits,bars_tested
18,12,0.7782426778242678,0.5760111576011158,10.905027932960893,0.7989690721649485,0.5051725016147854,717,195,7851
18,16,0.7782426778242678,0.5760111576011158,10.905027932960893,0.7989690721649485,0.5051725016147854,717,195,7851
18,10,0.7782426778242678,0.5760111576011158,10.905027932960893,0.7989690721649485,0.5051725016147854,717,195,7851
18,14,0.7782426778242678,0.5760111576011158,10.905027932960893,0.7989690721649485,0.5051725016147854,717,195,7851
18,8,0.7782426778242678,0.5760111576011158,10.905027932960893,0.7989690721649485,0.5051725016147854,717,195,7851
18,20,0.7782426778242678,0.5760111576011158,10.905027932960893,0.7989690721649485,0.5051725016147854,717,195,7851
18,18,0.7782426778242678,0.5760111576011158,10.905027932960893,0.7989690721649485,0.5051725016147854,717,195,7851
20,8,0.7791225416036309,0.5582450832072617,11.827272727272728,0.7583892617449665,0.5044223432188011,661,151,7851
20,12,0.7791225416036309,0.5582450832072617,11.827272727272728,0.7583892617449665,0.5044223432188011,661,151,7851
20,18,0.7791225416036309,0.5582450832072617,11.827272727272728,0.7583892617449665,0.5044223432188011,661,151,7851
20,20,0.7791225416036309,0.5582450832072617,11.827272727272728,0.7583892617449665,0.5044223432188011,661,151,7851
20,14,0.7791225416036309,0.5582450832072617,11.827272727272728,0.7583892617449665,0.5044223432188011,661,151,7851
20,16,0.7791225416036309,0.5582450832072617,11.827272727272728,0.7583892617449665,0.5044223432188011,661,151,7851
20,10,0.7791225416036309,0.5582450832072617,11.827272727272728,0.7583892617449665,0.5044223432188011,661,151,7851
14,14,0.7851578515785157,0.5940959409594095,9.620689655172415,0.7766323024054983,0.4989031554637168,813,292,7851
14,12,0.7851578515785157,0.5940959409594095,9.620689655172415,0.7766323024054983,0.4989031554637168,813,292,7851
14,8,0.7851578515785157,0.5940959409594095,9.620689655172415,0.7766323024054983,0.4989031554637168,813,292,7851
14,10,0.7851578515785157,0.5940959409594095,9.620689655172415,0.7766323024054983,0.4989031554637168,813,292,7851
14,16,0.7851578515785157,0.5940959409594095,9.620689655172415,0.7766323024054983,0.4989031554637168,813,292,7851
14,20,0.7851578515785157,0.5940959409594095,9.620689655172415,0.7766323024054983,0.4989031554637168,813,292,7851
14,18,0.7851578515785157,0.5940959409594095,9.620689655172415,0.7766323024054983,0.4989031554637168,813,292,7851
16,16,0.7776332899869961,0.5929778933680104,10.169270833333334,0.7869565217391304,0.4984470739619741,769,231,7851
16,8,0.7776332899869961,0.5929778933680104,10.169270833333334,0.7869565217391304,0.4984470739619741,769,231,7851
16,12,0.7776332899869961,0.5929778933680104,10.169270833333334,0.7869565217391304,0.4984470739619741,769,231,7851
16,10,0.7776332899869961,0.5929778933680104,10.169270833333334,0.7869565217391304,0.4984470739619741,769,231,7851
16,20,0.7776332899869961,0.5929778933680104,10.169270833333334,0.7869565217391304,0.4984470739619741,769,231,7851
16,14,0.7776332899869961,0.5929778933680104,10.169270833333334,0.7869565217391304,0.4984470739619741,769,231,7851
16,18,0.7776332899869961,0.5929778933680104,10.169270833333334,0.7869565217391304,0.4984470739619741,769,231,7851
12,12,0.7837541163556532,0.6037321624588364,8.586813186813187,0.7971014492753623,0.4984147286250154,911,346,7851
12,20,0.7837541163556532,0.6037321624588364,8.586813186813187,0.7971014492753623,0.4984147286250154,911,346,7851
12,18,0.7837541163556532,0.6037321624588364,8.586813186813187,0.7971014492753623,0.4984147286250154,911,346,7851
12,8,0.7837541163556532,0.6037321624588364,8.586813186813187,0.7971014492753623,0.4984147286250154,911,346,7851
12,10,0.7837541163556532,0.6037321624588364,8.586813186813187,0.7971014492753623,0.4984147286250154,911,346,7851
12,16,0.7837541163556532,0.6037321624588364,8.586813186813187,0.7971014492753623,0.4984147286250154,911,346,7851
12,14,0.7837541163556532,0.6037321624588364,8.586813186813187,0.7971014492753623,0.4984147286250154,911,346,7851
10,18,0.786771964461994,0.6209279368213229,7.723320158102767,0.7914691943127962,0.49377726812174455,1013,423,7851
10,16,0.786771964461994,0.6209279368213229,7.723320158102767,0.7914691943127962,0.49377726812174455,1013,423,7851
10,8,0.786771964461994,0.6209279368213229,7.723320158102767,0.7914691943127962,0.49377726812174455,1013,423,7851
10,14,0.786771964461994,0.6209279368213229,7.723320158102767,0.7914691943127962,0.49377726812174455,1013,423,7851
10,10,0.786771964461994,0.6209279368213229,7.723320158102767,0.7914691943127962,0.49377726812174455,1013,423,7851
10,12,0.786771964461994,0.6209279368213229,7.723320158102767,0.7914691943127962,0.49377726812174455,1013,423,7851
10,20,0.786771964461994,0.6209279368213229,7.723320158102767,0.7914691943127962,0.49377726812174455,1013,423,7851
8,16,0.7855227882037535,0.6353887399463807,6.988372093023256,0.8125,0.492411416342,1119,546,7851
8,10,0.7855227882037535,0.6353887399463807,6.988372093023256,0.8125,0.492411416342,1119,546,7851
8,14,0.7855227882037535,0.6353887399463807,6.988372093023256,0.8125,0.492411416342,1119,546,7851
8,20,0.7855227882037535,0.6353887399463807,6.988372093023256,0.8125,0.492411416342,1119,546,7851
8,18,0.7855227882037535,0.6353887399463807,6.988372093023256,0.8125,0.492411416342,1119,546,7851
8,8,0.7855227882037535,0.6353887399463807,6.988372093023256,0.8125,0.492411416342,1119,546,7851
8,12,0.7855227882037535,0.6353887399463807,6.988372093023256,0.8125,0.492411416342,1119,546,7851
