symbol,timeframe,base_length,step_mult,smoothing,flip_accuracy,whipsaw_rate,avg_trend_duration,squeeze_accuracy,total_flips,total_squeezes,bars_tested,composite_score
TSLA,1hr,10,1.4,3,0.8002496878901374,0.09737827715355805,29.345864661654137,1.0,267,262,7851,0.8298573286879257
TSLA,1hr,7,1.6,3,0.7982779827798279,0.08856088560885608,28.91111111111111,1.0,271,277,7851,0.8287921056045334
TSLA,1hr,16,1.3,3,0.7818930041152262,0.1440329218106996,32.13636363636363,1.0,243,209,7851,0.8283253808706321
TSLA,1hr,11,1.3,3,0.7854406130268199,0.09961685823754789,30.01923076923077,1.0,261,279,7851,0.8281097143537489
TSLA,1hr,9,1.4,3,0.7942998760842627,0.09665427509293681,29.12313432835821,1.0,269,285,7851,0.82663439431885
TSLA,1hr,6,1.7,3,0.7680608365019012,0.07604562737642585,29.793893129770993,1.0,263,292,7851,0.8265826298976967
TSLA,1hr,8,1.6,3,0.7924528301886792,0.10943396226415095,29.568181818181817,1.0,265,246,7851,0.8254335565118488
TSLA,1hr,7,1.7,3,0.7905824039653035,0.10408921933085502,29.12686567164179,1.0,269,262,7851,0.8234966817757696
TSLA,1hr,9,1.5,3,0.8031980319803198,0.11808118081180811,28.91111111111111,1.0,271,253,7851,0.8231340490239676
TSLA,1hr,14,1.3,3,0.774703557312253,0.13438735177865613,30.86904761904762,1.0,253,225,7851,0.8207012438844156
TSLA,1hr,6,1.8,3,0.7933579335793358,0.11439114391143912,28.91111111111111,1.0,271,272,7851,0.8206125238087155
TSLA,1hr,11,1.4,3,0.779467680608365,0.12167300380228137,29.69083969465649,1.0,263,245,7851,0.8185567459111641
TSLA,1hr,6,1.6,3,0.8049052396878483,0.08695652173913043,26.19463087248322,1.0,299,309,7851,0.8153953508355887
TSLA,1hr,13,1.3,3,0.784019975031211,0.13108614232209737,29.24436090225564,1.0,267,239,7851,0.8151477220938858
TSLA,1hr,10,1.3,3,0.7890909090909091,0.12363636363636364,28.485401459854014,1.0,275,289,7851,0.814281945272635
TSLA,1hr,7,1.5,3,0.7972508591065292,0.10309278350515463,26.913793103448278,1.0,291,303,7851,0.8129491763005646
TSLA,1hr,15,1.5,2,0.8177278401997503,0.18726591760299627,29.24436090225564,0.9945652173913043,267,185,7851,0.8120853136913455
TSLA,1hr,8,1.3,3,0.8071348940914159,0.10367892976588629,26.191275167785236,1.0,299,348,7851,0.8119752178461439
TSLA,1hr,16,1.7,2,0.7928286852589642,0.21912350597609562,31.056,1.0,251,137,7851,0.8069702235813614
TSLA,1hr,8,1.4,3,0.7849829351535836,0.10580204778156997,26.72945205479452,1.0,293,309,7851,0.8068843569062204
TSLA,1hr,14,1.7,2,0.8133848133848134,0.23166023166023167,30.151162790697676,1.0,259,156,7851,0.80566211849826
TSLA,1hr,6,1.4,3,0.8051118210862619,0.09904153354632587,25.016025641025642,1.0,313,385,7851,0.8054535159550676
TSLA,1hr,15,1.7,2,0.8067444876783397,0.23735408560311283,30.38671875,1.0,257,151,7851,0.8033121386069039
TSLA,1hr,9,1.3,3,0.7811447811447811,0.10774410774410774,26.368243243243242,1.0,297,318,7851,0.8029123685321286
TSLA,1hr,7,1.4,3,0.792079207920792,0.1188118811881188,25.844370860927153,1.0,303,349,7851,0.8008642416539719
TSLA,1hr,6,1.3,3,0.8051282051282053,0.10153846153846154,24.089506172839506,1.0,325,437,7851,0.7993378049657339
TSLA,1hr,16,1.8,2,0.7827260458839406,0.25101214574898784,31.5609756097561,1.0,247,125,7851,0.7984582546574451
TSLA,1hr,16,1.6,2,0.7931034482758621,0.23371647509578544,29.91923076923077,0.9933333333333333,261,151,7851,0.7956734837610183
TSLA,1hr,7,1.3,3,0.7835897435897436,0.08923076923076922,24.089506172839506,1.0,325,393,7851,0.7948762665041954
TSLA,1hr,12,1.8,2,0.7974842767295597,0.24150943396226415,29.46590909090909,1.0,265,166,7851,0.7935688916450351
TSLA,1hr,13,1.8,2,0.8017348203221809,0.2527881040892193,29.026119402985074,1.0,269,153,7851,0.7896275598441427
TSLA,1hr,6,1.5,3,0.7781350482315111,0.12861736334405144,25.177419354838708,1.0,311,345,7851,0.7895752671159022
TSLA,1hr,12,1.6,2,0.8062283737024222,0.21107266435986158,27.00347222222222,0.9946808510638298,289,189,7851,0.7888305468504591
TSLA,1hr,14,1.6,2,0.7983392645314353,0.22419928825622776,27.78214285714286,0.9940828402366864,281,170,7851,0.7873179996502604
TSLA,1hr,13,1.7,2,0.7908979089790898,0.23985239852398524,28.81111111111111,0.9938271604938271,271,163,7851,0.7868669569042309
TSLA,1hr,14,1.8,2,0.7765006385696039,0.24904214559386972,29.861538461538462,1.0,261,136,7851,0.7866887834804592
TSLA,1hr,14,1.5,2,0.8050749711649366,0.22145328719723184,27.00347222222222,0.9947089947089947,289,190,7851,0.7858359217997714
TSLA,1hr,15,1.6,2,0.7963636363636364,0.24727272727272728,28.39051094890511,0.9935064935064936,275,155,7851,0.7843812797744348
TSLA,1hr,16,1.5,2,0.8028673835125448,0.24731182795698925,27.98201438848921,0.9940828402366864,279,170,7851,0.7843105815705649
TSLA,1hr,12,1.7,2,0.7955865272938443,0.23693379790940766,27.1993006993007,0.9940828402366864,287,170,7851,0.7797128026004627
TSLA,1hr,13,1.6,2,0.7812865497076024,0.22456140350877193,27.390845070422536,0.994413407821229,285,180,7851,0.7789869627851569
TSLA,1hr,10,1.8,2,0.7862950058072009,0.22996515679442509,27.1993006993007,0.9943181818181818,287,177,7851,0.7782382315961076
TSLA,1hr,11,1.6,2,0.8069039913700108,0.21359223300970873,25.25,0.9950738916256158,309,204,7851,0.7780923980932587
TSLA,1hr,15,1.8,2,0.7567567567567567,0.26640926640926643,30.093023255813954,1.0,259,132,7851,0.7768100872497069
