bb_length,bb_mult,kc_mult,fire_accuracy,touch_reversal,squeeze_whipsaw,avg_squeeze_dur,squeeze_freq,total_fires,total_touches,total_squeezes,composite_score,bars_tested
22,2.5,1.8,0.8251551043429216,0.48917339270804344,0.07557811618725324,8.273547659334461,18.91563180130585,1773,71860,1773,0.8009453504330739,93732
22,2.5,2.0,0.8292568203198495,0.48917339270804344,0.08466603951081844,10.028692380056444,22.681688217471088,2126,71860,2126,0.7999038843952611,93732
20,2.5,1.8,0.8232536333802156,0.4897366277491176,0.08345053914674168,8.042662916080637,22.756369222890797,2133,73660,2133,0.7985476121646586,93732
25,2.2,1.5,0.8226381461675579,0.4762595979054182,0.07130124777183601,8.224598930481283,11.970298297273077,1122,73714,1122,0.7980310313836629,93732
22,2.2,2.0,0.8252,0.4762475786366571,0.0768,12.4456,26.671787649895446,2500,75887,2500,0.7974218946591642,93732
25,2.5,2.0,0.8165404775771695,0.48955090510780586,0.07979033197437391,10.198602213162493,18.318183757948194,1717,69384,1717,0.7974022865565088,93732
18,2.5,2.0,0.8239363542026981,0.4887327677624602,0.08232445520581114,9.662054652369422,30.843255238339093,2891,75440,2891,0.7973775590027399,93732
30,1.8,1.2,0.8259541984732824,0.45148952216775307,0.05343511450381679,8.555725190839695,6.988008364272607,655,74252,655,0.7972998614579687,93732
18,2.5,1.8,0.8147418210484825,0.4887327677624602,0.08119826566811195,8.004335829720143,27.0665301071139,2537,75440,2537,0.7963061718381318,93732
22,2.2,1.5,0.8252933507170795,0.4762475786366571,0.06910039113428944,7.688396349413298,16.365808901975846,1534,75887,1534,0.7962587655848488,93732
22,2.0,1.8,0.8291599353796446,0.4634985693295182,0.07552504038772213,12.223747980613894,26.41573848845645,2476,77586,2476,0.7957413628493424,93732
25,2.5,1.8,0.8127286027798098,0.48955090510780586,0.08193123628383321,8.564740307242136,14.58413348696283,1367,69384,1367,0.795723498039936,93732
25,2.2,2.0,0.8208530805687204,0.4762595979054182,0.07867298578199051,12.562085308056872,22.510988776511756,2110,73714,2110,0.795652577201473,93732
20,2.2,1.5,0.829613500272183,0.4757941533769288,0.07784431137724551,7.636908002177464,19.598429565143174,1837,77378,1837,0.7947405906033503,93732
30,2.2,1.5,0.797799174690509,0.4752026162377364,0.05364511691884457,8.620357634112793,7.756155848589596,727,70330,727,0.7947291272368756,93732
25,2.0,1.8,0.8252052148720425,0.46493441301964306,0.07629164654756157,12.432641236117817,22.09490888917339,2071,75701,2071,0.794722256079633,93732
22,2.2,1.8,0.8231597845601436,0.4762475786366571,0.08527827648114901,10.255834829443447,23.76989715358682,2228,75887,2228,0.79469026090692,93732
30,2.5,1.5,0.8162790697674419,0.48687099725526073,0.03953488372093023,7.481395348837209,4.587547475782017,430,65580,430,0.7946574940652209,93732
20,2.5,2.0,0.8172770700636943,0.4897366277491176,0.09195859872611464,9.699044585987261,26.799812230614943,2512,73660,2512,0.794627628274859,93732
