smooth_length,trend_length,flip_accuracy,whipsaw_rate,avg_trend_duration,composite_score,total_flips,bars_tested
8,20,0.8173951973951974,0.1903409090909091,22.270655270655272,0.5868779631255746,352,7850
8,25,0.7752069936535957,0.19032258064516128,25.29126213592233,0.5723169242634993,310,7850
8,16,0.7893435431123873,0.205,19.593984962406015,0.5692137114837366,400,7850
5,20,0.7847172283746424,0.23658536585365852,19.117359413202934,0.5575232760497106,410,7850
5,25,0.7903572035647507,0.25268817204301075,21.070080862533693,0.5564409502174815,372,7850
4,20,0.7822554160707664,0.25229357798165136,17.97471264367816,0.5509527269015907,436,7850
4,25,0.7939232703315514,0.2747524752475248,19.39950372208437,0.5499712117153703,404,7850
8,14,0.7781539966933225,0.25112107623318386,17.570786516853932,0.5493551763298099,446,7850
8,10,0.7705314009661836,0.26037735849056604,14.780718336483933,0.5413967171729219,530,7850
8,12,0.7606146702873042,0.25918367346938775,15.989775051124745,0.5387122501896148,490,7850
5,14,0.7837026147222513,0.2873134328358209,14.616822429906541,0.538459109615153,536,7850
5,16,0.7655221379682486,0.2777777777777778,16.121649484536082,0.5351978017147581,486,7850
3,25,0.7812153780842626,0.3054298642533937,17.73015873015873,0.5344089056367892,442,7850
3,20,0.7696590118302019,0.2916666666666667,16.325678496868477,0.5328418303347828,480,7850
8,8,0.7655863727183446,0.2810344827586207,13.506044905008636,0.5322472959068921,580,7850
5,12,0.7814201774986088,0.30201342281879195,13.141176470588235,0.5320082554689052,596,7850
4,16,0.7490942028985508,0.30754716981132074,14.782608695652174,0.5186723394101531,530,7850
5,10,0.7696040601267508,0.33081570996978854,11.826021180030256,0.5176359081400416,662,7850
4,12,0.767246380946946,0.3292307692307692,12.046224961479199,0.517336627312589,650,7850
5,8,0.7647936124148611,0.33053221288515405,10.96633941093969,0.5151396965737279,714,7850
3,16,0.7585210860774119,0.33391003460207613,13.552859618717504,0.5135942976442661,578,7850
4,14,0.7622013593898357,0.34105960264900664,12.96849087893864,0.5124748852890835,604,7850
2,20,0.7755595886267392,0.3641304347826087,14.192377495462795,0.5118323820825088,552,7850
4,10,0.762771725132643,0.3472222222222222,10.870653685674547,0.5092508032735303,720,7850
4,8,0.767449387645978,0.3541666666666667,10.194263363754889,0.5085215487122167,768,7850
3,14,0.7666159309994928,0.36322188449848025,11.902587519025875,0.5067773261730754,658,7850
2,25,0.7608557771143047,0.37254901960784315,15.361493123772101,0.5043188735930038,510,7850
3,12,0.7634854771784232,0.3729281767955801,10.813278008298756,0.501780663698911,724,7850
3,10,0.7628262015712036,0.37595907928388744,10.007682458386684,0.499991940887942,782,7850
2,14,0.7668934240362812,0.40625,10.638095238095238,0.4930133978219738,736,7850
2,16,0.7578947368421053,0.3993993993993994,11.759398496240602,0.4923261502007731,666,7850
3,8,0.7631615568601869,0.4157175398633257,8.915621436716078,0.4873638485074078,878,7850
2,10,0.7597236940225284,0.441834451901566,8.752519596864502,0.47802896593423416,894,7850
2,12,0.7444801467506514,0.43226600985221675,9.638717632552405,0.4754794284573745,812,7850
1,25,0.7579998974606873,0.48442367601246106,12.1996879875195,0.467197458463991,642,7850
1,16,0.7614418793033617,0.4866504854368932,9.50303766707169,0.4658450743708411,824,7850
2,8,0.762176197511868,0.4906716417910448,7.301587301587301,0.4632498175259719,1072,7850
1,20,0.7482517482517482,0.4832869080779944,10.90934449093445,0.4626529793544483,718,7850
1,14,0.7579498690609802,0.5022421524663677,8.77665544332211,0.45921557356090625,892,7850
1,12,0.7635418176521194,0.5103950103950103,8.13423517169615,0.45851547375510604,962,7850
1,10,0.7733332374941897,0.5380710659898477,6.621507197290432,0.4529729998101156,1182,7850
1,8,0.7914866916196727,0.6347607052896725,4.9319470699432895,0.42993610613353545,1588,7850
