symbol,timeframe,atr_length,factor,flip_accuracy,whipsaw_rate,avg_trend_duration,bounce_win_rate,total_flips,total_bounces,bars_tested,composite_score
AMD,1hr,14,3.5,0.766260162601626,0.018292682926829267,47.73006134969325,1.0,164,1,7851,0.9044154321911319
AMD,1hr,20,3.0,0.7735849056603774,0.05188679245283019,36.867298578199055,1.0,212,1,7851,0.8437780663222064
AMD,1hr,20,3.5,0.7911392405063292,0.0189873417721519,49.554140127388536,0.0,158,0,7851,0.7721518987341772
AMD,1hr,18,3.5,0.7895833333333333,0.01875,48.930817610062896,0.0,160,0,7851,0.7685220125786163
AMD,1hr,16,3.5,0.7674897119341564,0.018518518518518517,48.32298136645963,0.0,162,0,7851,0.7577805894231014
AMD,1hr,12,3.5,0.7710843373493977,0.018072289156626505,47.14545454545455,0.0,166,0,7851,0.7532096579822445
AMD,1hr,10,3.5,0.788235294117647,0.023529411764705882,46.02958579881657,0.0,170,0,7851,0.7522186687151093
AMD,1hr,8,3.5,0.7821969696969697,0.03409090909090909,44.36571428571428,0.0,176,0,7851,0.7390706704392437
AMD,1hr,16,3.0,0.7741433021806854,0.0514018691588785,36.521126760563384,0.0,214,0,7851,0.6923483035573395
AMD,1hr,10,3.0,0.7803738317757011,0.06074766355140187,36.45070422535211,0.0,214,0,7851,0.6918372595324972
AMD,1hr,18,3.0,0.7725856697819315,0.0514018691588785,36.521126760563384,0.0,214,0,7851,0.6918031322177756
AMD,1hr,14,3.0,0.7672955974842767,0.05660377358490566,36.867298578199055,0.0,212,0,7851,0.6903975631775522
AMD,1hr,12,3.0,0.753968253968254,0.05714285714285714,37.14832535885167,0.0,210,0,7851,0.6870159985536795
AMD,1hr,8,3.0,0.7687687687687688,0.06306306306306306,35.13122171945702,0.0,222,0,7851,0.680539865319844
AMD,1hr,14,2.8,0.7744252873563218,0.05603448275862069,33.61471861471861,0.0,232,0,7851,0.6766260532305209
AMD,1hr,16,2.8,0.7602339181286549,0.05263157894736842,34.215859030837,0.0,228,0,7851,0.6755425456262273
AMD,1hr,10,2.8,0.7792022792022792,0.0641025641025641,33.32618025751073,0.0,234,0,7851,0.6748253077372257
AMD,1hr,12,2.8,0.7829131652661064,0.06722689075630252,32.76371308016878,0.0,238,0,7851,0.6725053965160956
AMD,1hr,8,2.8,0.7703081232492996,0.0546218487394958,32.73839662447257,0.0,238,0,7851,0.6711171711208319
AMD,1hr,18,2.8,0.7507246376811594,0.05217391304347826,33.97379912663755,0.0,230,0,7851,0.6711075248401999
AMD,1hr,20,2.5,0.7956989247311829,0.06854838709677419,31.437246963562753,0.0,248,0,7851,0.66995803373517
AMD,1hr,20,2.8,0.7521367521367521,0.05128205128205128,33.39055793991416,0.0,234,0,7851,0.668882286049668
AMD,1hr,18,2.5,0.7919999999999999,0.068,31.184738955823292,0.0,250,0,7851,0.6675266072000082
AMD,1hr,16,2.5,0.7896825396825397,0.06746031746031746,30.93625498007968,0.0,252,0,7851,0.6655968182600727
AMD,1hr,14,2.5,0.7782152230971128,0.06692913385826772,30.691699604743082,0.0,254,1,7851,0.6604822746304979
AMD,1hr,12,2.5,0.7764857881136952,0.05813953488372093,30.214007782101167,0.0,258,0,7851,0.6596644230247077
AMD,1hr,10,2.5,0.7824427480916031,0.0648854961832061,29.727969348659006,0.0,262,0,7851,0.6576108110426689
AMD,1hr,8,2.5,0.7777777777777777,0.06296296296296296,28.866171003717472,0.0,270,0,7851,0.6521109431647605
AMD,1hr,14,2.2,0.7933333333333333,0.08333333333333333,26.05685618729097,0.0,300,0,7851,0.6382898378771856
AMD,1hr,16,2.2,0.7874720357941835,0.08389261744966443,26.232323232323232,0.0,298,0,7851,0.6369837916962277
AMD,1hr,18,2.2,0.7777777777777778,0.09,26.05685618729097,0.0,300,0,7851,0.6311787267660744
