smooth_length,trend_length,flip_accuracy,whipsaw_rate,avg_trend_duration,composite_score,total_flips,bars_tested
8,25,0.7912710022015288,0.20589157004073957,25.741692789968653,0.5566192914175324,3191,82226
8,20,0.7808889053400755,0.20722958057395144,22.685895666574662,0.5518420691571345,3624,82226
8,16,0.7796687549121151,0.21950024497795198,20.139671649105612,0.5474870126649592,4082,82226
8,14,0.7899770338740383,0.23586612392582543,18.591042750508933,0.5465875577026275,4422,82226
8,12,0.7881066957528272,0.25072704611549645,17.07687512985664,0.5412706575608699,4814,82226
5,25,0.7787064024448164,0.25765765765765763,21.156024716786817,0.5357290107715825,3885,82226
8,10,0.7961271591801887,0.2796261682242991,15.365862778089362,0.5356842543775114,5350,82226
5,16,0.7888912238704385,0.27626382306477093,16.23385344657318,0.5338619207509857,5064,82226
5,20,0.7760446019939834,0.26783310901749663,18.4406551492035,0.5314135156969368,4458,82226
5,14,0.7858429449283287,0.2859744990892532,14.97376571324467,0.5296374582433329,5490,82226
5,12,0.7919166657358865,0.3059823471722785,13.437142390060487,0.5259524653209889,6118,82226
4,16,0.7904460296069695,0.30893433799784714,14.748788803158083,0.5245743239625025,5574,82226
4,20,0.7812765551318233,0.30146759070525886,16.75637104994903,0.5232930508745194,4906,82226
4,25,0.7754451052716856,0.2963657678780774,19.270403377110693,0.5226744657629907,4265,82226
8,8,0.7925898278658482,0.31957236842105263,13.521138345122553,0.5221508529512903,6080,82226
4,14,0.7879993088302256,0.3148635317329826,13.516691333662227,0.5217269718467243,6082,82226
5,10,0.7879887727448702,0.3313008130081301,11.934659503412226,0.5166761327680588,6888,82226
4,12,0.7863399271725223,0.33451431945674637,12.135538166248338,0.5150672006442913,6774,82226
3,25,0.7800422776202218,0.33828141333890865,17.182977833542452,0.5117863224148064,4783,82226
3,20,0.7875835560759694,0.35264301230992035,14.881586094513851,0.5103264224244095,5524,82226
4,10,0.7908324552160169,0.35814014752370915,10.827822421288367,0.509681039920211,7592,82226
3,16,0.784233845755573,0.35698517817723113,12.962466487935657,0.5075438511070272,6342,82226
5,8,0.7927893415059805,0.3699399821223343,10.498212005108558,0.5068997925096884,7831,82226
3,14,0.7905067664212405,0.36851958525345624,11.8385424168227,0.5065106849376948,6944,82226
3,12,0.7924105217766279,0.3853816300129366,10.634493466166386,0.502125714657236,7730,82226
4,8,0.7904663529591799,0.397452083094227,9.435376492194674,0.497639412095566,8713,82226
3,10,0.791618295797539,0.4019038774088693,9.543132474166956,0.4967725138496081,8614,82226
2,20,0.791914349633978,0.42567567567567566,12.623406542773768,0.4899841623333933,6512,82226
2,25,0.7792104595058819,0.4095356698096424,14.622241992882563,0.4898904623058309,5621,82226
2,16,0.7889336291488681,0.4287625418060201,10.997324056729997,0.487747159678639,7475,82226
2,14,0.7890192245030955,0.4385386119257087,10.04460466821459,0.4847790572123769,8184,82226
3,8,0.7898704358068315,0.4431095406360424,8.299777867528272,0.4836209437716101,9905,82226
2,12,0.7898133805414177,0.45286567824739987,9.09538563682638,0.48072933557888253,9038,82226
2,10,0.7907528156490812,0.4724362774155305,8.121233079735203,0.4751628463292891,10122,82226
2,8,0.788517917627302,0.5089232345657928,7.0196413321947055,0.4632424172439389,11711,82226
1,20,0.7901912664095673,0.547271239920533,9.604604955586723,0.45259597896454934,8557,82226
1,25,0.7835170185455672,0.5456114725800026,10.9132802124834,0.4505197035577194,7531,82226
1,16,0.7900639416156139,0.5560911921261424,8.255624748895139,0.4498006288117907,9957,82226
1,14,0.7906877141458639,0.5647944199706314,7.544286369894447,0.44738726337911305,10896,82226
1,12,0.7895898879505436,0.5822155986090413,6.805912064254368,0.44166790041672926,12078,82226
1,10,0.7898045038356841,0.5962138084632517,6.102457494988492,0.43750295300169434,13470,82226
1,8,0.7898462393875239,0.6287290690960415,5.273963813678943,0.4277046141632349,15587,82226
