symbol,timeframe,atr_length,factor,flip_accuracy,whipsaw_rate,avg_trend_duration,bounce_win_rate,total_flips,total_bounces,bars_tested,composite_score
SPY,1min,18,3.5,0.7612005696133202,0.07886953664147223,34.92307692307692,1.0,3043,1,106329,0.8948947941655038
SPY,1min,10,3.5,0.765687224195458,0.07394252502421698,34.31427648578811,0.16666666666666666,3097,2,106329,0.7683702417920656
SPY,1min,20,2.8,0.7748764996471419,0.14302517054810632,24.99694117647059,0.6666666666666666,4251,3,106329,0.7630992132556568
SPY,1min,16,3.0,0.7662658821522981,0.12509593246354567,27.184493346980553,0.5,3909,2,106329,0.7551143435030219
SPY,1min,20,3.5,0.7610062893081762,0.07745779543197617,35.17748344370861,0.0,3021,0,106329,0.7469877523998676
SPY,1min,16,3.5,0.7581400413808125,0.07873244037896113,34.71764705882353,0.0,3061,0,106329,0.7423979305323349
SPY,1min,12,3.5,0.7559157212317666,0.07585089141004862,34.447795071335925,0.0,3085,0,106329,0.7404220165496764
SPY,1min,14,3.5,0.7555483382050449,0.07989607015264696,34.514619883040936,0.0,3079,0,106329,0.7397570496315247
SPY,1min,8,3.5,0.7617389469241321,0.0731244064577398,33.64059531348955,0.0,3159,0,106329,0.7374051443811395
SPY,1min,8,3.0,0.778395217647554,0.1126547107855519,26.841081354219302,0.0,3959,1,106329,0.6850293495461429
SPY,1min,12,3.0,0.7741413108326941,0.11889542316543084,27.17058823529412,0.0,3911,2,106329,0.6843220497568067
SPY,1min,20,3.0,0.7722865722865723,0.122007722007722,27.35247167868177,0.0,3885,2,106329,0.6841874292264801
SPY,1min,18,3.0,0.7702273702273702,0.1232947232947233,27.35247167868177,0.0,3885,3,106329,0.6831449581840091
SPY,1min,14,3.0,0.7716065182151693,0.12106475556693115,27.1984126984127,0.0,3907,1,106329,0.6830902826573555
SPY,1min,10,3.0,0.7718228769790874,0.11709423418846837,26.991107723577237,0.0,3937,1,106329,0.6826853596808228
SPY,1min,18,2.5,0.7764334207165424,0.16999395039322443,21.427995159338444,0.3333333333333333,4959,2,106329,0.681538088086353
SPY,1min,12,2.2,0.7724236904564773,0.20798145388309322,17.59622391520371,0.5,6039,2,106329,0.668406102781211
SPY,1min,16,2.8,0.7740956826137689,0.1381563593932322,24.798552754435107,0.0,4285,1,106329,0.6626332195190743
SPY,1min,18,2.8,0.7748189675309507,0.1401541695865452,24.821728971962617,0.0,4281,2,106329,0.6625516258697527
SPY,1min,10,2.8,0.7738122473880882,0.13063372226035233,24.310755148741418,0.0,4371,1,106329,0.6609479872879194
SPY,1min,14,2.8,0.7696407879490149,0.13904982618771727,24.62610106629578,0.0,4315,1,106329,0.6596250567917351
SPY,1min,12,2.8,0.7712403278939708,0.13720983681912205,24.422528735632184,0.0,4351,2,106329,0.6591981414518016
SPY,1min,20,2.2,0.7801731454761501,0.21066032931590561,18.0383701188455,0.4000000000000001,5891,5,106329,0.6585909461238066
SPY,1min,8,2.8,0.7699435028248588,0.12745762711864406,24.014466546112114,0.0,4425,1,106329,0.658282281070505
